#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap
Bitcoin,BTC,19914.09,0.0,3.7,3.6,27068124639.0,382219128162.0
Ethereum,ETH,1347.54,0.1,4.3,0.9,8846089254.0,162810730982.0
Tether,USDT,0.999061,0.0,0.1,0.2,31670303985.0,67885610166.0
BNB,BNB,290.49,0.3,1.8,5.4,570182494.0,47450255431.0
USD Coin,USDC,1.0,0.1,0.0,0.1,3177940647.0,47178443705.0
XRP,XRP,0.460894,0.4,4.5,1.4,1671017415.0,22975970912.0
Binance USD,BUSD,0.997668,0.2,0.3,0.3,6547829153.0,20804579813.0
Cardano,ADA,0.431126,0.6,2.0,3.5,387107517.0,14581440373.0
Solana,SOL,33.51,0.5,3.9,1.0,641338953.0,11887757567.0
Dogecoin,DOGE,0.060573003412,0.1,1.2,0.9,186896028.0,8035545007.0
Polkadot,DOT,6.44,0.0,3.3,1.5,184065942.0,7455121223.0
Shiba Inu,SHIB,1.1224104e-05,0.6,1.5,1.0,157837464.0,6610288207.0
Dai,DAI,1.0,0.1,0.0,0.1,460693511.0,6322063751.0
Polygon,MATIC,0.824894,0.4,7.1,9.2,372883906.0,6133823312.0
Lido Staked Ether,STETH,1341.05,0.3,4.5,0.9,4040588.0,5901915466.0
TRON,TRX,0.061223627721,0.2,0.3,2.8,253118381.0,5653938680.0
Avalanche,AVAX,17.31,0.3,3.9,1.2,173560246.0,5121641174.0
Uniswap,UNI,6.67,0.2,3.2,12.9,177820754.0,5029441328.0
Wrapped Bitcoin,WBTC,19909.01,0.2,3.6,3.8,184395856.0,4873055327.0
LEO Token,LEO,4.26,0.1,3.6,4.6,1485586.0,3959243917.0
OKB,OKB,15.66,0.7,2.0,2.0,15409058.0,3940234266.0
Litecoin,LTC,54.59,0.3,3.4,2.2,272101132.0,3894668125.0
Cosmos Hub,ATOM,13.1,0.6,7.0,5.7,311606011.0,3832393632.0
Ethereum Classic,ETC,27.7,0.4,2.0,2.6,255189863.0,3799369058.0
Chainlink,LINK,7.64,0.4,7.2,3.7,451794730.0,3751925484.0
FTX,FTT,24.9,0.1,3.9,2.9,53130393.0,3319958999.0
Stellar,XLM,0.117107,0.0,2.2,3.1,107822472.0,2981172644.0
NEAR Protocol,NEAR,3.6,0.1,4.0,2.0,114965820.0,2877513164.0
Cronos,CRO,0.110504,0.4,0.0,4.1,19943907.0,2788235241.0
Monero,XMR,144.2,0.1,4.0,1.0,64873318.0,2614732348.0
Algorand,ALGO,0.352834,0.6,1.1,4.2,92962542.0,2447738443.0
